Mission_ID,Time_of_Day,navigate_depart_GPS_Latitude,navigate_depart_GPS_Longitude,navigate_depart_GPS_Altitude,navigate_depart_GPS_Speed,navigate_depart_Wind_Speed,navigate_depart_Battery_Level,navigate_depart_Obstacle_Density,delivery_area_checking_GPS_Latitude,delivery_area_checking_GPS_Longitude,delivery_area_checking_Delivery_Area_Condition,delivery_area_checking_High_Res_Camera,delivery_area_checking_Battery_Level,delivery_area_checking_Obstacle_Density,recipient_authorization_Recipient_Authorization,recipient_authorization_AI_Decision,recipient_authorization_Battery_Level,supply_dropoff_Supply_Confirmation,supply_dropoff_GPS_Altitude,supply_dropoff_Battery_Level,navigate_return_GPS_Latitude,navigate_return_GPS_Longitude,navigate_return_GPS_Speed,navigate_return_Wind_Speed,navigate_return_Battery_Level,navigate_return_Obstacle_Density,return_to_base_GPS_Latitude,return_to_base_GPS_Longitude,return_to_base_GPS_Altitude,return_to_base_Battery_Level,return_to_base_Gyroscope_Stability,return_to_base_AI_Decision,return_to_base_Weather_Condition,Overall_Success
1,9,57.062169070944805,52.70297711388318,161.61167577696133,44.20589340216117,7.264024206705093,29.44115178402636,0.22141877565662824,7.959892585392154,26.928368610764352,0,0,29.44115178402636,0.22141877565662824,0.822873835089166,0.822873835089166,29.44115178402636,0.822873835089166,304.2113366554545,29.44115178402636,85.00229337327508,6.138903323060106,62.381876562264786,0.300145711199451,29.44115178402636,0.22141877565662824,-80.78601620119244,-3.4779837854622997,150.82110301071896,29.44115178402636,0.8031183721731375,0.822873835089166,0.822873835089166,1
2,18,24.303751176108122,60.31757758149837,511.3269609332673,43.423142099073374,16.221003025921927,64.38483828674703,0.213319736596679,74.94061928184706,123.7306916378663,0,0,64.38483828674703,0.213319736596679,0.6988340883358664,0.6988340883358664,64.38483828674703,0.6988340883358664,888.8328208749184,64.38483828674703,37.68418254606905,151.14217107048574,56.61287765533547,17.00405663426228,64.38483828674703,0.213319736596679,-1.6610671222424003,-11.074135760237937,924.062177965467,64.38483828674703,0.7488319012430682,0.6988340883358664,0.6988340883358664,1
3,15,55.22039922376533,36.95362615347332,937.6995629600617,47.90451339837703,8.037519869278565,44.39360858754897,0.5199144507602843,-82.59276638920058,94.8897675149617,1,0,44.39360858754897,0.5199144507602843,0.6395539277107536,0.6395539277107536,44.39360858754897,0.6395539277107536,558.399034945239,44.39360858754897,-13.196049794947811,150.38914348429432,99.96173339092168,5.012020191060371,44.39360858754897,0.5199144507602843,49.413077863429464,-153.31385664727406,999.0072494568407,44.39360858754897,0.8780110509305251,0.6395539277107536,0.6395539277107536,1
4,19,-21.243432180596955,157.40755515716074,384.1992015294852,96.45083537724187,16.838109519328597,56.652266224643796,0.4785085267945589,-59.67777552397868,66.77777738297098,0,0,56.652266224643796,0.4785085267945589,0.8427863644288337,0.8427863644288337,56.652266224643796,0.8427863644288337,935.7693948054504,56.652266224643796,11.824961424019918,66.62114165064358,42.171262620448445,4.294905866651364,56.652266224643796,0.4785085267945589,-17.583384137512297,24.05235992038294,399.68127354143286,56.652266224643796,0.586827659421497,0.8427863644288337,0.8427863644288337,1
5,11,-81.60275951822254,151.97081676147258,281.49819425481894,90.78928058692836,0.0010297707192119532,59.11038710920693,0.3842028062256413,-60.47961418713555,-35.204019641389095,1,0,59.11038710920693,0.3842028062256413,0.8139236731909376,0.8139236731909376,59.11038710920693,0.8139236731909376,167.6144458481518,59.11038710920693,53.99449909527311,-133.10497731316724,65.30300559266688,4.861848249184966,59.11038710920693,0.3842028062256413,-79.93944597320962,125.11209623281991,749.9169814735776,59.11038710920693,0.504990721909157,0.8139236731909376,0.8139236731909376,1
6,17,54.30413123627471,-143.615671825295,159.71939961138682,54.05317476532079,9.70519388033252,51.92278590745548,0.7634545070033723,-81.15180858626796,-145.9996016868127,0,1,51.92278590745548,0.7634545070033723,0.8810972143391378,0.8810972143391378,51.92278590745548,0.8810972143391378,218.60568912644322,51.92278590745548,-65.39970046452538,-44.807896827963475,85.97081142020053,12.541216440593733,51.92278590745548,0.7634545070033723,-68.03798741771664,-174.83456407149671,612.7347094956555,51.92278590745548,0.7904004959355884,0.8810972143391378,0.8810972143391378,1
7,17,71.8097618384945,-103.31329537561217,274.2698604906423,42.61332988099584,2.174397647890698,35.21893303604101,0.37653066312894956,-53.796129517836384,-132.87310751080082,1,1,35.21893303604101,0.37653066312894956,0.8978724121364502,0.8978724121364502,35.21893303604101,0.8978724121364502,203.74667901486953,35.21893303604101,-77.64054921804626,9.090855782423603,78.97475690888098,12.69989839671573,35.21893303604101,0.37653066312894956,-56.440802084093626,-22.97601326888818,182.1854056425277,35.21893303604101,0.9812164060759396,0.8978724121364502,0.8978724121364502,1
8,1,59.125243677328086,155.11000009073626,797.2049225714804,94.9719216850228,4.628450524148063,73.46976737756678,0.6067031768716366,-1.4221130905651762,138.8147565089664,1,1,73.46976737756678,0.6067031768716366,0.7650127334567342,0.7650127334567342,73.46976737756678,0.7650127334567342,507.35889235357894,73.46976737756678,-89.16838086959571,-51.41235888254104,75.66170985506379,8.740124796657254,73.46976737756678,0.6067031768716366,-85.68977013871856,-126.53427030124416,727.4027546688318,73.46976737756678,0.8918965675494972,0.7650127334567342,0.7650127334567342,1
9,11,-14.441605384407183,-142.49886812688095,873.0329384422417,83.22989176808392,12.857281381927482,30.956275619237587,0.4212242655397313,83.14293587232527,-119.05169004474565,1,0,30.956275619237587,0.4212242655397313,0.8156499506399193,0.8156499506399193,30.956275619237587,0.8156499506399193,910.7352653113243,30.956275619237587,-86.79480384503186,75.76285396323323,46.7169172781635,3.893890621888396,30.956275619237587,0.4212242655397313,84.72179502818125,-34.50191653766828,991.7031231047041,30.956275619237587,0.6013117113504876,0.8156499506399193,0.8156499506399193,1
10,22,-20.173692810666537,-151.3814590501419,732.3712315710345,42.45634997771452,5.014359078091126,34.27290922786369,0.5850733678568798,11.173768547590157,-160.36510749870595,1,0,34.27290922786369,0.5850733678568798,0.6938499383398193,0.6938499383398193,34.27290922786369,0.6938499383398193,802.3964908811979,34.27290922786369,15.66680465977798,70.665749635168,44.41883963200563,12.171640232090429,34.27290922786369,0.5850733678568798,-12.579835694051255,75.73019371157139,217.1601772839304,34.27290922786369,0.5639450894241926,0.6938499383398193,0.6938499383398193,1
